"WeekStartDate","Campus","GradeBand","FleetSize","DevicesAssigned","DevicesPendingAssignment","DevicesUnassigned","AssignmentCompletePct","AutopilotSuccessRatePct","DevicesNotSeenIn7Days","DevicesNotSeenIn30Days"
"2025-07-10","Timber Creek HS","High School","2565","2462","26","77","96","97","103","26"
"2025-07-10","Central HS","High School","2470","2396","74","0","97","99","49","25"
"2025-07-10","Foster HS","High School","2375","2256","24","95","95","97","24","24"
"2025-07-10","Indian Springs MS","Middle","1080","1058","11","11","98","97","43","11"
"2025-07-10","Hillwood MS","Middle","1035","983","31","21","95","97","41","10"
"2025-07-10","Trinity Springs MS","Middle","990","970","10","10","98","99","10","10"
"2025-07-10","Bear Creek MS","Middle","945","917","9","19","97","99","28","9"
"2025-07-10","Timberview MS","Middle","900","864","27","9","96","98","27","9"
"2025-07-10","Ridgeview MS","Middle","882","838","26","18","95","97","35","9"
"2025-07-10","Shady Grove Elem","Elementary","120","114","2","4","95","99","5","1"
"2025-07-10","Parkwood Elem","Elementary","117","113","2","2","97","99","1","1"
"2025-07-10","Willowbrook Elem","Elementary","114","111","2","1","97","97","3","1"
"2025-07-10","Willis Lane Elem","Elementary","112","109","3","0","97","98","4","1"
"2025-07-10","Florence Elem","Elementary","111","108","1","2","97","99","4","1"
"2025-07-10","Basswood Elem","Elementary","110","108","3","0","98","99","3","1"
"2025-07-10","Parkview Elem","Elementary","108","103","2","3","95","97","4","1"
"2025-07-10","Liberty Elem","Elementary","106","104","3","0","98","99","2","1"
"2025-07-17","Keller HS","High School","2660","2527","80","53","95","98","106","27"
"2025-07-17","Timber Creek HS","High School","2565","2488","77","0","97","98","77","26"
"2025-07-17","Central HS","High School","2470","2421","49","0","98","97","49","25"
"2025-07-17","Foster HS","High School","2375","2328","71","0","98","98","95","24"
"2025-07-17","Indian Springs MS","Middle","1080","1037","11","32","96","98","22","11"
"2025-07-17","Hillwood MS","Middle","1035","994","21","20","96","97","31","10"
"2025-07-17","Trinity Springs MS","Middle","990","940","20","30","95","99","20","10"
"2025-07-17","Bear Creek MS","Middle","945","907","28","10","96","97","19","9"
"2025-07-17","Timberview MS","Middle","900","873","18","9","97","98","36","9"
"2025-07-17","Ridgeview MS","Middle","882","847","9","26","96","99","18","9"
"2025-07-17","Shady Grove Elem","Elementary","120","116","1","3","97","99","4","1"
"2025-07-17","Parkwood Elem","Elementary","117","113","4","0","97","99","4","1"
"2025-07-17","Willowbrook Elem","Elementary","114","111","2","1","97","99","2","1"
"2025-07-17","Willis Lane Elem","Elementary","112","109","2","1","97","97","2","1"
"2025-07-17","Florence Elem","Elementary","111","108","1","2","97","98","3","1"
"2025-07-17","Basswood Elem","Elementary","110","108","3","0","98","98","3","1"
"2025-07-17","Parkview Elem","Elementary","108","105","2","1","97","98","3","1"
"2025-07-17","Liberty Elem","Elementary","106","101","2","3","95","98","3","1"
"2025-07-24","Keller HS","High School","2660","2527","53","80","95","97","80","27"
"2025-07-24","Timber Creek HS","High School","2565","2462","26","77","96","99","26","26"
"2025-07-24","Central HS","High School","2470","2346","74","50","95","99","49","25"
"2025-07-24","Foster HS","High School","2375","2280","48","47","96","98","71","24"
"2025-07-24","Indian Springs MS","Middle","1080","1026","11","43","95","99","32","11"
"2025-07-24","Hillwood MS","Middle","1035","983","21","31","95","98","10","10"
"2025-07-24","Trinity Springs MS","Middle","990","940","30","20","95","99","40","10"
"2025-07-24","Bear Creek MS","Middle","945","907","9","29","96","98","28","9"
"2025-07-24","Timberview MS","Middle","900","864","27","9","96","99","36","9"
"2025-07-24","Ridgeview MS","Middle","882","856","18","8","97","97","9","9"
"2025-07-24","Shady Grove Elem","Elementary","120","118","2","0","98","98","5","1"
"2025-07-24","Parkwood Elem","Elementary","117","112","2","3","96","99","4","1"
"2025-07-24","Willowbrook Elem","Elementary","114","111","3","0","97","97","2","1"
"2025-07-24","Willis Lane Elem","Elementary","112","110","2","0","98","99","4","1"
"2025-07-24","Florence Elem","Elementary","111","107","3","1","96","99","3","1"
"2025-07-24","Basswood Elem","Elementary","110","107","3","0","97","97","2","1"
"2025-07-24","Parkview Elem","Elementary","108","104","2","2","96","98","1","1"
"2025-07-24","Liberty Elem","Elementary","106","104","3","0","98","97","3","1"
"2025-07-31","Keller HS","High School","2660","2580","27","53","97","97","27","27"
"2025-07-31","Timber Creek HS","High School","2565","2514","26","25","98","99","103","26"
"2025-07-31","Central HS","High School","2470","2421","49","0","98","98","49","25"
"2025-07-31","Foster HS","High School","2375","2328","24","23","98","99","48","24"
"2025-07-31","Indian Springs MS","Middle","1080","1058","32","0","98","97","43","11"
"2025-07-31","Hillwood MS","Middle","1035","994","31","10","96","97","21","10"
"2025-07-31","Trinity Springs MS","Middle","990","960","10","20","97","99","20","10"
"2025-07-31","Bear Creek MS","Middle","945","907","9","29","96","99","9","9"
"2025-07-31","Timberview MS","Middle","900","882","18","0","98","99","27","9"
"2025-07-31","Ridgeview MS","Middle","882","838","26","18","95","97","9","9"
"2025-07-31","Shady Grove Elem","Elementary","120","116","2","2","97","98","2","1"
"2025-07-31","Parkwood Elem","Elementary","117","111","1","5","95","99","4","1"
"2025-07-31","Willowbrook Elem","Elementary","114","111","3","0","97","98","1","1"
"2025-07-31","Willis Lane Elem","Elementary","112","106","2","4","95","98","3","1"
"2025-07-31","Florence Elem","Elementary","111","108","2","1","97","98","4","1"
"2025-07-31","Basswood Elem","Elementary","110","108","3","0","98","98","2","1"
"2025-07-31","Parkview Elem","Elementary","108","106","2","0","98","97","3","1"
"2025-07-31","Liberty Elem","Elementary","106","104","3","0","98","99","2","1"
"2025-08-07","Keller HS","High School","2660","2341","80","239","88","93","27","27"
"2025-08-07","Timber Creek HS","High School","2565","2385","51","129","93","95","26","26"
"2025-08-07","Central HS","High School","2470","2272","49","149","92","97","74","25"
"2025-08-07","Foster HS","High School","2375","2042","24","309","86","93","95","24"
"2025-08-07","Indian Springs MS","Middle","1080","994","22","64","92","92","43","11"
"2025-08-07","Hillwood MS","Middle","1035","963","21","51","93","92","10","10"
"2025-08-07","Trinity Springs MS","Middle","990","851","10","129","86","92","30","10"
"2025-08-07","Bear Creek MS","Middle","945","803","9","133","85","93","9","9"
"2025-08-07","Timberview MS","Middle","900","765","18","117","85","94","18","9"
"2025-08-07","Ridgeview MS","Middle","882","803","18","61","91","97","18","9"
"2025-08-07","Shady Grove Elem","Elementary","120","106","4","10","88","92","5","1"
"2025-08-07","Parkwood Elem","Elementary","117","110","1","6","94","94","1","1"
"2025-08-07","Willowbrook Elem","Elementary","114","106","2","6","93","95","2","1"
"2025-08-07","Willis Lane Elem","Elementary","112","104","3","5","93","96","4","1"
"2025-08-07","Florence Elem","Elementary","111","99","3","9","89","92","2","1"
"2025-08-07","Basswood Elem","Elementary","110","95","1","14","86","96","2","1"
"2025-08-07","Parkview Elem","Elementary","108","94","1","13","87","96","1","1"
"2025-08-07","Liberty Elem","Elementary","106","100","3","3","94","92","2","1"
"2025-08-14","Keller HS","High School","2660","2261","27","372","85","96","27","27"
"2025-08-14","Timber Creek HS","High School","2565","2385","26","154","93","94","77","26"
"2025-08-14","Central HS","High School","2470","2322","25","123","94","93","74","25"
"2025-08-14","Foster HS","High School","2375","2066","24","285","87","97","48","24"
"2025-08-14","Indian Springs MS","Middle","1080","983","22","75","91","92","22","11"
"2025-08-14","Hillwood MS","Middle","1035","983","31","21","95","95","31","10"
"2025-08-14","Trinity Springs MS","Middle","990","940","30","20","95","93","30","10"
"2025-08-14","Bear Creek MS","Middle","945","888","28","29","94","92","28","9"
"2025-08-14","Timberview MS","Middle","900","819","9","72","91","92","36","9"
"2025-08-14","Ridgeview MS","Middle","882","838","26","18","95","94","35","9"
"2025-08-14","Shady Grove Elem","Elementary","120","112","4","4","93","93","1","1"
"2025-08-14","Parkwood Elem","Elementary","117","102","1","14","87","95","5","1"
"2025-08-14","Willowbrook Elem","Elementary","114","101","2","11","89","93","2","1"
"2025-08-14","Willis Lane Elem","Elementary","112","101","3","8","90","93","4","1"
"2025-08-14","Florence Elem","Elementary","111","98","3","10","88","94","3","1"
"2025-08-14","Basswood Elem","Elementary","110","103","3","4","94","95","1","1"
"2025-08-14","Parkview Elem","Elementary","108","96","1","11","89","96","1","1"
"2025-08-14","Liberty Elem","Elementary","106","94","2","10","89","96","4","1"
"2025-08-21","Keller HS","High School","2660","2288","27","345","86","96","80","27"
"2025-08-21","Timber Creek HS","High School","2565","2257","51","257","88","92","103","26"
"2025-08-21","Central HS","High School","2470","2174","25","271","88","96","99","25"
"2025-08-21","Foster HS","High School","2375","2019","48","308","85","92","71","24"
"2025-08-21","Indian Springs MS","Middle","1080","918","22","140","85","93","22","11"
"2025-08-21","Hillwood MS","Middle","1035","983","31","21","95","97","10","10"
"2025-08-21","Trinity Springs MS","Middle","990","911","30","49","92","92","40","10"
"2025-08-21","Bear Creek MS","Middle","945","822","9","114","87","97","9","9"
"2025-08-21","Timberview MS","Middle","900","837","27","36","93","97","18","9"
"2025-08-21","Ridgeview MS","Middle","882","803","9","70","91","97","9","9"
"2025-08-21","Shady Grove Elem","Elementary","120","108","4","8","90","97","4","1"
"2025-08-21","Parkwood Elem","Elementary","117","108","1","8","92","94","5","1"
"2025-08-21","Willowbrook Elem","Elementary","114","101","2","11","89","95","3","1"
"2025-08-21","Willis Lane Elem","Elementary","112","103","1","8","92","97","2","1"
"2025-08-21","Florence Elem","Elementary","111","95","2","14","86","97","3","1"
"2025-08-21","Basswood Elem","Elementary","110","97","2","11","88","93","4","1"
"2025-08-21","Parkview Elem","Elementary","108","100","2","6","93","93","3","1"
"2025-08-21","Liberty Elem","Elementary","106","91","3","12","86","95","2","1"
"2025-08-28","Keller HS","High School","2660","2341","27","292","88","95","53","27"
"2025-08-28","Timber Creek HS","High School","2565","2180","77","308","85","95","103","26"
"2025-08-28","Central HS","High School","2470","2198","25","247","89","94","25","25"
"2025-08-28","Foster HS","High School","2375","2161","24","190","91","94","95","24"
"2025-08-28","Indian Springs MS","Middle","1080","929","32","119","86","94","22","11"
"2025-08-28","Hillwood MS","Middle","1035","911","10","114","88","97","21","10"
"2025-08-28","Trinity Springs MS","Middle","990","921","20","49","93","92","30","10"
"2025-08-28","Bear Creek MS","Middle","945","832","28","85","88","94","19","9"
"2025-08-28","Timberview MS","Middle","900","855","18","27","95","92","27","9"
"2025-08-28","Ridgeview MS","Middle","882","767","18","97","87","97","26","9"
"2025-08-28","Shady Grove Elem","Elementary","120","112","4","4","93","95","1","1"
"2025-08-28","Parkwood Elem","Elementary","117","104","1","12","89","96","4","1"
"2025-08-28","Willowbrook Elem","Elementary","114","97","3","14","85","93","2","1"
"2025-08-28","Willis Lane Elem","Elementary","112","104","1","7","93","96","3","1"
"2025-08-28","Florence Elem","Elementary","111","99","2","10","89","93","1","1"
"2025-08-28","Basswood Elem","Elementary","110","104","1","5","95","96","2","1"
"2025-08-28","Parkview Elem","Elementary","108","102","2","4","94","96","2","1"
"2025-08-28","Liberty Elem","Elementary","106","94","2","10","89","94","4","1"
"2025-09-04","Keller HS","High School","2660","2314","80","266","87","97","106","27"
"2025-09-04","Timber Creek HS","High School","2565","2257","51","257","88","97","51","26"
"2025-09-04","Central HS","High School","2470","2272","25","173","92","96","99","25"
"2025-09-04","Foster HS","High School","2375","2185","71","119","92","94","71","24"
"2025-09-04","Indian Springs MS","Middle","1080","940","11","129","87","92","32","11"
"2025-09-04","Hillwood MS","Middle","1035","963","10","62","93","97","21","10"
"2025-09-04","Trinity Springs MS","Middle","990","881","20","89","89","92","20","10"
"2025-09-04","Bear Creek MS","Middle","945","822","28","95","87","97","9","9"
"2025-09-04","Timberview MS","Middle","900","765","9","126","85","93","18","9"
"2025-09-04","Ridgeview MS","Middle","882","750","9","123","85","97","9","9"
"2025-09-04","Shady Grove Elem","Elementary","120","113","2","5","94","96","5","1"
"2025-09-04","Parkwood Elem","Elementary","117","110","4","3","94","97","4","1"
"2025-09-04","Willowbrook Elem","Elementary","114","101","2","11","89","96","5","1"
"2025-09-04","Willis Lane Elem","Elementary","112","103","3","6","92","97","1","1"
"2025-09-04","Florence Elem","Elementary","111","102","2","7","92","93","2","1"
"2025-09-04","Basswood Elem","Elementary","110","97","3","10","88","92","4","1"
"2025-09-04","Parkview Elem","Elementary","108","99","1","8","92","92","4","1"
"2025-09-04","Liberty Elem","Elementary","106","98","2","6","92","92","3","1"
"2025-09-11","Keller HS","High School","2660","2447","27","186","92","94","27","27"
"2025-09-11","Timber Creek HS","High School","2565","2206","51","308","86","96","51","26"
"2025-09-11","Central HS","High School","2470","2322","49","99","94","95","49","25"
"2025-09-11","Foster HS","High School","2375","2042","71","262","86","95","24","24"
"2025-09-11","Indian Springs MS","Middle","1080","1004","11","65","93","97","22","11"
"2025-09-11","Hillwood MS","Middle","1035","900","31","104","87","97","21","10"
"2025-09-11","Trinity Springs MS","Middle","990","901","10","79","91","94","40","10"
"2025-09-11","Bear Creek MS","Middle","945","803","9","133","85","93","28","9"
"2025-09-11","Timberview MS","Middle","900","846","27","27","94","95","27","9"
"2025-09-11","Ridgeview MS","Middle","882","785","9","88","89","96","9","9"
"2025-09-11","Shady Grove Elem","Elementary","120","106","4","10","88","95","5","1"
"2025-09-11","Parkwood Elem","Elementary","117","99","1","17","85","96","2","1"
"2025-09-11","Willowbrook Elem","Elementary","114","100","2","12","88","92","1","1"
"2025-09-11","Willis Lane Elem","Elementary","112","106","2","4","95","94","4","1"
"2025-09-11","Florence Elem","Elementary","111","104","2","5","94","97","3","1"
"2025-09-11","Basswood Elem","Elementary","110","102","3","5","93","93","4","1"
"2025-09-11","Parkview Elem","Elementary","108","97","2","9","90","95","4","1"
"2025-09-11","Liberty Elem","Elementary","106","100","2","4","94","97","1","1"
"2025-09-18","Keller HS","High School","2660","2421","27","212","91","92","27","27"
"2025-09-18","Timber Creek HS","High School","2565","2360","26","179","92","92","26","26"
"2025-09-18","Central HS","High School","2470","2100","25","345","85","96","25","25"
"2025-09-18","Foster HS","High School","2375","2066","71","238","87","96","71","24"
"2025-09-18","Indian Springs MS","Middle","1080","961","32","87","89","96","11","11"
"2025-09-18","Hillwood MS","Middle","1035","963","31","41","93","97","31","10"
"2025-09-18","Trinity Springs MS","Middle","990","921","20","49","93","92","30","10"
"2025-09-18","Bear Creek MS","Middle","945","850","9","86","90","93","28","9"
"2025-09-18","Timberview MS","Middle","900","855","9","36","95","96","27","9"
"2025-09-18","Ridgeview MS","Middle","882","785","18","79","89","96","35","9"
"2025-09-18","Shady Grove Elem","Elementary","120","107","4","9","89","94","4","1"
"2025-09-18","Parkwood Elem","Elementary","117","99","4","14","85","92","2","1"
"2025-09-18","Willowbrook Elem","Elementary","114","103","3","8","90","93","2","1"
"2025-09-18","Willis Lane Elem","Elementary","112","103","1","8","92","94","1","1"
"2025-09-18","Florence Elem","Elementary","111","97","3","11","87","92","3","1"
"2025-09-18","Basswood Elem","Elementary","110","98","2","10","89","95","2","1"
"2025-09-18","Parkview Elem","Elementary","108","100","1","7","93","95","4","1"
"2025-09-18","Liberty Elem","Elementary","106","100","1","5","94","93","3","1"
"2025-09-25","Keller HS","High School","2660","2500","27","133","94","94","27","27"
"2025-09-25","Timber Creek HS","High School","2565","2232","26","307","87","94","51","26"
"2025-09-25","Central HS","High School","2470","2297","25","148","93","96","49","25"
"2025-09-25","Foster HS","High School","2375","2019","48","308","85","95","95","24"
"2025-09-25","Indian Springs MS","Middle","1080","929","11","140","86","95","32","11"
"2025-09-25","Hillwood MS","Middle","1035","890","21","124","86","95","10","10"
"2025-09-25","Trinity Springs MS","Middle","990","861","20","109","87","97","20","10"
"2025-09-25","Bear Creek MS","Middle","945","850","19","76","90","92","19","9"
"2025-09-25","Timberview MS","Middle","900","792","27","81","88","94","27","9"
"2025-09-25","Ridgeview MS","Middle","882","811","9","62","92","97","35","9"
"2025-09-25","Shady Grove Elem","Elementary","120","113","4","3","94","97","2","1"
"2025-09-25","Parkwood Elem","Elementary","117","104","4","9","89","97","4","1"
"2025-09-25","Willowbrook Elem","Elementary","114","108","2","4","95","96","5","1"
"2025-09-25","Willis Lane Elem","Elementary","112","105","2","5","94","95","2","1"
"2025-09-25","Florence Elem","Elementary","111","102","1","8","92","95","1","1"
"2025-09-25","Basswood Elem","Elementary","110","103","2","5","94","92","3","1"
"2025-09-25","Parkview Elem","Elementary","108","103","3","2","95","92","2","1"
"2025-09-25","Liberty Elem","Elementary","106","91","1","14","86","93","2","1"
"2025-10-02","Keller HS","High School","2660","2580","27","53","97","99","106","27"
"2025-10-02","Timber Creek HS","High School","2565","2462","51","52","96","99","77","26"
"2025-10-02","Central HS","High School","2470","2371","25","74","96","97","74","25"
"2025-10-02","Foster HS","High School","2375","2328","24","23","98","98","48","24"
"2025-10-02","Indian Springs MS","Middle","1080","1058","11","11","98","99","43","11"
"2025-10-02","Hillwood MS","Middle","1035","983","31","21","95","97","21","10"
"2025-10-02","Trinity Springs MS","Middle","990","940","30","20","95","99","30","10"
"2025-10-02","Bear Creek MS","Middle","945","926","28","0","98","99","9","9"
"2025-10-02","Timberview MS","Middle","900","864","18","18","96","98","36","9"
"2025-10-02","Ridgeview MS","Middle","882","864","9","9","98","99","35","9"
"2025-10-02","Shady Grove Elem","Elementary","120","116","2","2","97","97","5","1"
"2025-10-02","Parkwood Elem","Elementary","117","112","2","3","96","98","4","1"
"2025-10-02","Willowbrook Elem","Elementary","114","112","3","0","98","99","2","1"
"2025-10-02","Willis Lane Elem","Elementary","112","110","2","0","98","99","4","1"
"2025-10-02","Florence Elem","Elementary","111","107","3","1","96","97","3","1"
"2025-10-02","Basswood Elem","Elementary","110","106","2","2","96","97","1","1"
"2025-10-02","Parkview Elem","Elementary","108","105","2","1","97","97","2","1"
"2025-10-02","Liberty Elem","Elementary","106","104","3","0","98","97","3","1"
"2025-10-09","Keller HS","High School","2660","2554","80","26","96","99","27","27"
"2025-10-09","Timber Creek HS","High School","2565","2514","51","0","98","99","77","26"
"2025-10-09","Central HS","High School","2470","2371","49","50","96","99","25","25"
"2025-10-09","Foster HS","High School","2375","2280","24","71","96","97","24","24"
"2025-10-09","Indian Springs MS","Middle","1080","1026","32","22","95","97","11","11"
"2025-10-09","Hillwood MS","Middle","1035","983","10","42","95","97","41","10"
"2025-10-09","Trinity Springs MS","Middle","990","960","10","20","97","98","30","10"
"2025-10-09","Bear Creek MS","Middle","945","898","9","38","95","98","19","9"
"2025-10-09","Timberview MS","Middle","900","882","27","0","98","99","18","9"
"2025-10-09","Ridgeview MS","Middle","882","856","9","17","97","98","18","9"
"2025-10-09","Shady Grove Elem","Elementary","120","115","4","1","96","98","4","1"
"2025-10-09","Parkwood Elem","Elementary","117","115","2","0","98","99","2","1"
"2025-10-09","Willowbrook Elem","Elementary","114","108","3","3","95","99","1","1"
"2025-10-09","Willis Lane Elem","Elementary","112","109","1","2","97","97","1","1"
"2025-10-09","Florence Elem","Elementary","111","109","2","0","98","98","3","1"
"2025-10-09","Basswood Elem","Elementary","110","106","2","2","96","98","4","1"
"2025-10-09","Parkview Elem","Elementary","108","103","2","3","95","97","4","1"
"2025-10-09","Liberty Elem","Elementary","106","102","1","3","96","97","2","1"
"2025-10-16","Keller HS","High School","2660","2607","80","0","98","98","53","27"
"2025-10-16","Timber Creek HS","High School","2565","2488","26","51","97","99","26","26"
"2025-10-16","Central HS","High School","2470","2396","49","25","97","97","99","25"
"2025-10-16","Foster HS","High School","2375","2304","48","23","97","97","71","24"
"2025-10-16","Indian Springs MS","Middle","1080","1058","22","0","98","97","22","11"
"2025-10-16","Hillwood MS","Middle","1035","1014","21","0","98","99","10","10"
"2025-10-16","Trinity Springs MS","Middle","990","940","10","40","95","97","30","10"
"2025-10-16","Bear Creek MS","Middle","945","907","28","10","96","97","38","9"
"2025-10-16","Timberview MS","Middle","900","855","27","18","95","98","27","9"
"2025-10-16","Ridgeview MS","Middle","882","838","26","18","95","97","35","9"
"2025-10-16","Shady Grove Elem","Elementary","120","116","1","3","97","99","1","1"
"2025-10-16","Parkwood Elem","Elementary","117","111","2","4","95","99","4","1"
"2025-10-16","Willowbrook Elem","Elementary","114","111","1","2","97","99","1","1"
"2025-10-16","Willis Lane Elem","Elementary","112","108","2","2","96","98","4","1"
"2025-10-16","Florence Elem","Elementary","111","109","3","0","98","97","1","1"
"2025-10-16","Basswood Elem","Elementary","110","104","1","5","95","99","3","1"
"2025-10-16","Parkview Elem","Elementary","108","104","2","2","96","99","4","1"
"2025-10-16","Liberty Elem","Elementary","106","103","1","2","97","97","2","1"
"2025-10-23","Keller HS","High School","2660","2580","53","27","97","97","27","27"
"2025-10-23","Timber Creek HS","High School","2565","2462","26","77","96","99","103","26"
"2025-10-23","Central HS","High School","2470","2396","49","25","97","98","25","25"
"2025-10-23","Foster HS","High School","2375","2280","48","47","96","97","95","24"
"2025-10-23","Indian Springs MS","Middle","1080","1026","22","32","95","97","22","11"
"2025-10-23","Hillwood MS","Middle","1035","994","31","10","96","98","41","10"
"2025-10-23","Trinity Springs MS","Middle","990","960","30","0","97","98","20","10"
"2025-10-23","Bear Creek MS","Middle","945","926","19","0","98","97","9","9"
"2025-10-23","Timberview MS","Middle","900","864","9","27","96","97","36","9"
"2025-10-23","Ridgeview MS","Middle","882","864","26","0","98","98","35","9"
"2025-10-23","Shady Grove Elem","Elementary","120","115","1","4","96","97","2","1"
"2025-10-23","Parkwood Elem","Elementary","117","111","4","2","95","98","1","1"
"2025-10-23","Willowbrook Elem","Elementary","114","108","1","5","95","98","1","1"
"2025-10-23","Willis Lane Elem","Elementary","112","110","3","0","98","98","4","1"
"2025-10-23","Florence Elem","Elementary","111","105","1","5","95","97","2","1"
"2025-10-23","Basswood Elem","Elementary","110","106","3","1","96","99","3","1"
"2025-10-23","Parkview Elem","Elementary","108","106","3","0","98","99","2","1"
"2025-10-23","Liberty Elem","Elementary","106","104","2","0","98","98","1","1"
"2025-10-30","Keller HS","High School","2660","2554","27","79","96","99","106","27"
"2025-10-30","Timber Creek HS","High School","2565","2462","77","26","96","97","51","26"
"2025-10-30","Central HS","High School","2470","2371","25","74","96","99","49","25"
"2025-10-30","Foster HS","High School","2375","2328","48","0","98","97","95","24"
"2025-10-30","Indian Springs MS","Middle","1080","1026","32","22","95","97","32","11"
"2025-10-30","Hillwood MS","Middle","1035","1004","21","10","97","97","21","10"
"2025-10-30","Trinity Springs MS","Middle","990","940","20","30","95","98","30","10"
"2025-10-30","Bear Creek MS","Middle","945","898","28","19","95","98","9","9"
"2025-10-30","Timberview MS","Middle","900","882","27","0","98","98","18","9"
"2025-10-30","Ridgeview MS","Middle","882","856","9","17","97","99","35","9"
"2025-10-30","Shady Grove Elem","Elementary","120","114","2","4","95","99","1","1"
"2025-10-30","Parkwood Elem","Elementary","117","113","2","2","97","98","1","1"
"2025-10-30","Willowbrook Elem","Elementary","114","112","3","0","98","97","1","1"
"2025-10-30","Willis Lane Elem","Elementary","112","110","3","0","98","99","4","1"
"2025-10-30","Florence Elem","Elementary","111","107","2","2","96","99","1","1"
"2025-10-30","Basswood Elem","Elementary","110","106","3","1","96","98","4","1"
"2025-10-30","Parkview Elem","Elementary","108","104","2","2","96","99","2","1"
"2025-10-30","Liberty Elem","Elementary","106","104","1","1","98","98","1","1"
"2025-11-06","Keller HS","High School","2660","2607","53","0","98","99","27","27"
"2025-11-06","Timber Creek HS","High School","2565","2488","51","26","97","99","26","26"
"2025-11-06","Central HS","High School","2470","2371","74","25","96","97","99","25"
"2025-11-06","Foster HS","High School","2375","2304","71","0","97","97","24","24"
"2025-11-06","Indian Springs MS","Middle","1080","1026","22","32","95","98","22","11"
"2025-11-06","Hillwood MS","Middle","1035","1014","10","11","98","98","31","10"
"2025-11-06","Trinity Springs MS","Middle","990","960","30","0","97","98","20","10"
"2025-11-06","Bear Creek MS","Middle","945","907","9","29","96","97","38","9"
"2025-11-06","Timberview MS","Middle","900","882","27","0","98","99","27","9"
"2025-11-06","Ridgeview MS","Middle","882","864","9","9","98","99","18","9"
"2025-11-06","Shady Grove Elem","Elementary","120","116","1","3","97","97","2","1"
"2025-11-06","Parkwood Elem","Elementary","117","111","2","4","95","98","2","1"
"2025-11-06","Willowbrook Elem","Elementary","114","112","1","1","98","98","5","1"
"2025-11-06","Willis Lane Elem","Elementary","112","109","2","1","97","97","4","1"
"2025-11-06","Florence Elem","Elementary","111","109","1","1","98","97","1","1"
"2025-11-06","Basswood Elem","Elementary","110","104","1","5","95","97","1","1"
"2025-11-06","Parkview Elem","Elementary","108","104","2","2","96","98","2","1"
"2025-11-06","Liberty Elem","Elementary","106","104","1","1","98","99","2","1"
"2025-11-13","Keller HS","High School","2660","2580","53","27","97","99","80","27"
"2025-11-13","Timber Creek HS","High School","2565","2462","26","77","96","98","77","26"
"2025-11-13","Central HS","High School","2470","2421","25","24","98","99","49","25"
"2025-11-13","Foster HS","High School","2375","2304","48","23","97","98","71","24"
"2025-11-13","Indian Springs MS","Middle","1080","1026","32","22","95","97","22","11"
"2025-11-13","Hillwood MS","Middle","1035","1004","21","10","97","99","10","10"
"2025-11-13","Trinity Springs MS","Middle","990","950","20","20","96","99","20","10"
"2025-11-13","Bear Creek MS","Middle","945","898","19","28","95","97","9","9"
"2025-11-13","Timberview MS","Middle","900","864","9","27","96","99","18","9"
"2025-11-13","Ridgeview MS","Middle","882","838","26","18","95","97","18","9"
"2025-11-13","Shady Grove Elem","Elementary","120","115","2","3","96","99","4","1"
"2025-11-13","Parkwood Elem","Elementary","117","113","4","0","97","98","1","1"
"2025-11-13","Willowbrook Elem","Elementary","114","108","1","5","95","97","2","1"
"2025-11-13","Willis Lane Elem","Elementary","112","110","1","1","98","97","4","1"
"2025-11-13","Florence Elem","Elementary","111","107","2","2","96","97","3","1"
"2025-11-13","Basswood Elem","Elementary","110","108","1","1","98","99","1","1"
"2025-11-13","Parkview Elem","Elementary","108","106","1","1","98","97","4","1"
"2025-11-13","Liberty Elem","Elementary","106","102","3","1","96","98","2","1"
"2025-11-20","Keller HS","High School","2660","2580","80","0","97","97","27","27"
"2025-11-20","Timber Creek HS","High School","2565","2488","51","26","97","98","26","26"
"2025-11-20","Central HS","High School","2470","2371","25","74","96","99","74","25"
"2025-11-20","Foster HS","High School","2375","2280","48","47","96","97","24","24"
"2025-11-20","Indian Springs MS","Middle","1080","1058","22","0","98","99","43","11"
"2025-11-20","Hillwood MS","Middle","1035","983","21","31","95","97","31","10"
"2025-11-20","Trinity Springs MS","Middle","990","950","30","10","96","97","10","10"
"2025-11-20","Bear Creek MS","Middle","945","917","9","19","97","98","9","9"
"2025-11-20","Timberview MS","Middle","900","882","9","9","98","99","9","9"
"2025-11-20","Ridgeview MS","Middle","882","838","18","26","95","98","9","9"
"2025-11-20","Shady Grove Elem","Elementary","120","116","4","0","97","98","4","1"
"2025-11-20","Parkwood Elem","Elementary","117","112","4","1","96","98","4","1"
"2025-11-20","Willowbrook Elem","Elementary","114","112","2","0","98","99","2","1"
"2025-11-20","Willis Lane Elem","Elementary","112","110","1","1","98","98","3","1"
"2025-11-20","Florence Elem","Elementary","111","109","3","0","98","99","4","1"
"2025-11-20","Basswood Elem","Elementary","110","108","2","0","98","98","3","1"
"2025-11-20","Parkview Elem","Elementary","108","106","3","0","98","99","2","1"
"2025-11-20","Liberty Elem","Elementary","106","104","3","0","98","99","1","1"
"2025-11-27","Keller HS","High School","2660","2580","53","27","97","99","53","27"
"2025-11-27","Timber Creek HS","High School","2565","2437","26","102","95","97","51","26"
"2025-11-27","Central HS","High School","2470","2421","74","0","98","98","49","25"
"2025-11-27","Foster HS","High School","2375","2328","24","23","98","99","95","24"
"2025-11-27","Indian Springs MS","Middle","1080","1058","32","0","98","99","11","11"
"2025-11-27","Hillwood MS","Middle","1035","983","10","42","95","99","31","10"
